shipment_id,goods_shipped,goods_shipped_query,hs_code_6_digit,predicted_hs_code,rerank_score,distance,match_rank,top_hs_codes,expected_in_index,is_semantic_outlier,semantic_outlier_reason
2e288e348bfed6c471b9b71e8d0e03d18d277da495b3e3f4d14df930aa990a29,"CEBOLLA ROJA EN POLVO, S/M, S/M, LOTE: 24A001OPR , DATE OF MFG.: 01.01.2024 , DATE OF EXP.: 31.12.2024, USO: EN SAZONADORES EN POLVO, ONION POWDER RED, DESHIDRATADO (SECADO) INDUSTRIAL CON AIRE CALIENTE DENTRO DEL HORNO,A 60 DIAS DESDE LA FEC",cebolla roja polvo s m s m lote a opr date mfg,71220,80410.0,-11.405296325683594,0.65634716,,"[""080410"", ""100310"", ""120600"", ""100821"", ""100410""]",True,True,hs_code_mismatch
c759cea767e5f3beb1d6ef438f5c0fa3c596cb36bea6cf300a13e5842e183aa7,"CEBOLLA VERDE EN POLVO, S/M, S/M, T33050012, 20KG X 2 X 1 CTN/LOTE:4500143045-003A0124, MF DT:19/06/2024, EXP:19/12/2025, USO: ENSAZONADORES EN POLVO, GREEN ONION POWDER FD, DESHIDRATADO (SECADO) INDUSTRIAL CON AIRE CALIENTE DENTRO DEL HORNO",cebolla verde polvo s m s m t x x ctn lote,71220,100840.0,-11.46337890625,0.648656,,"[""100840"", ""080840"", ""100860"", ""071440"", ""090831""]",True,True,hs_code_mismatch
5a0400329cb316ac8e002822865fc9df3fcbd24c09005e96716fb85dac1f17c2,DO MDEMTE162173. Usuario Aduanero con tramite Simplificado: B00103. Pedido Tramite: 0082021 (15) . Declaracion(1-1). UL,do mdemte usuario aduanero tramite simplificado b pedido tramite declaracion ul,71220,71440.0,-11.463579177856444,0.7806307,,"[""071440"", ""071334"", ""081320"", ""080111"", ""121292""]",True,True,hs_code_mismatch
413773a8bbf62ba83292e127cc82d01a6e7d49edd5cac4ee6bb7c3510cb3ac04,"Do: 13BOGCT05220089, Nro Pedido  Orden Compra:IMP2022048 OC 880002108871, Declaracion: 315 MERCANCIA NUEVA Y DE PRI",do bogct nro pedido orden compra imp oc declaracion mercancia nueva pri,71220,120300.0,-11.482656478881836,0.7084671,,"[""120300"", ""080280"", ""080111"", ""080112"", ""080121""]",True,True,hs_code_mismatch
f3af2f85daf4a3c21a7dbafb9a8df7e6814d5dcc1298caa4602aaf6145078754,CODIGO UTS B00163 DO 245412782 ORDEN COMPRA:4574700666 DECLARACION 1 DE 1 FACTURA(S) / FECHA(S): 005703 DE 28/05/2024 /,codigo uts b do orden compra declaracion s fecha s,71220,120923.0,-11.397451400756836,0.6906568,,"[""120923"", ""100840"", ""080810"", ""120810"", ""080280""]",True,True,hs_code_mismatch
acacbeba37bba02e0ebf01fd0f1e305da4ad151775089e5f7f369d1b5719f498,"Do: 13MDEMD0320465, Nro Pedido / Orden Compra:DTA /CEBOLLA /12366 SEGUNDO PARCIAL, Declara",do mdemd nro pedido orden compra dta cebolla segundo parcial declara,71220,120300.0,-11.422754287719728,0.73794985,,"[""120300"", ""071440"", ""071331"", ""080111"", ""071410""]",True,True,hs_code_mismatch
95ce9a9703e1aa4d237a6a1b4fbbb33dbcd41cd376cdabc9026b826cad22e709,DO 220100223820-001 PEDIDO TRAMITE: OC 1509 + 1510+1511 DECLARACION(1-3) REGISTRO DE IMPOR,do pedido tramite oc declaracion registro impor,71220,100840.0,-11.431280136108398,0.80453056,,"[""100840"", ""071440"", ""080440"", ""080111"", ""080280""]",True,True,hs_code_mismatch
48bbe0a95cf5255089647d407f17d81466fb68f005dc99b0ecb322a8e99439ff,CODIGO OPERADOR ECONOMICO AUTORIZADO OEA N° 060131 CON RESOLUCIÓN DIAN N° 5654 DEL 25/08/2020. DO CTG2023I07218 PEDIDO 1,codigo operador economico autorizado oea n resolución dian n del do ctg,71220,100840.0,-11.47018051147461,0.80962366,,"[""100840"", ""080252"", ""110220"", ""080121"", ""110423""]",True,True,hs_code_mismatch
adfdfc78a3a9dfa6459f534f915f26e44be05a25ef37db918945f09f29cc2e88,"CEBOLLA EN POLVO, S/M, S/M, LOTE: 210319-0822, 301 CARTONS/ 7525KGS, FECHA PRODUCCION: 2021/03/25, ONION POWDER, FECHA EXPIRACION: 2023/03/24",cebolla polvo s m s m lote fecha produccion onion powder fecha,71220,120923.0,-11.06723690032959,0.5559395,,"[""120923"", ""110813"", ""071332"", ""071339"", ""100840""]",True,True,hs_code_mismatch
bdd82ece7bc9d4b6ffe9aeedd0778a1cf94333d0c7a21b53e724862b291cb0fe,DO 2150744 CODIGO / RESOLUCION OEA IMPORTADOR: 5654 25/08/2020 PEDIDO TRAMITE: IMT-110122 DECLARACION(10-28) VISTO BUEN,do codigo resolucion oea importador pedido tramite imt declaracion visto buen,71220,100840.0,-11.451281547546388,0.7612387,,"[""100840"", ""071440"", ""081290"", ""071151"", ""071159""]",True,True,hs_code_mismatch
